January 2, 2012; New York Times; 1374 words; Campaigns/Elections/Politics
May 31, 2012; NBC Nightly News; 310 word equivalents; Campaigns/Elections/Politics
January 5, 2012; CBS The Early Show; 410 word equivalents; Campaigns/Elections/Politics
January 5, 2012; CBS The Early Show; 562 word equivalents; Campaigns/Elections/Politics
January 5, 2012; CBS The Early Show; 417 word equivalents; Campaigns/Elections/Politics
January 5, 2012; CBS The Early Show; 167 word equivalents; Campaigns/Elections/Politics
January 10, 2012; CBS The Early Show; 460 word equivalents; Campaigns/Elections/Politics
January 10, 2012; CBS The Early Show; 490 word equivalents; Campaigns/Elections/Politics
January 12, 2012; CBS The Early Show; 432 word equivalents; Campaigns/Elections/Politics
January 12, 2012; CBS The Early Show; 367 word equivalents; Campaigns/Elections/Politics
January 12, 2012; CBS The Early Show; 152 word equivalents; Campaigns/Elections/Politics
January 17, 2012; CBS The Early Show; 627 word equivalents; Campaigns/Elections/Politics
January 19, 2012; CBS The Early Show; 262 word equivalents; Campaigns/Elections/Politics
January 19, 2012; CBS The Early Show; 207 word equivalents; Campaigns/Elections/Politics
January 19, 2012; CBS The Early Show; 295 word equivalents; Campaigns/Elections/Politics
January 23, 2012; CBS The Early Show; 357 word equivalents; Campaigns/Elections/Politics
January 27, 2012; CBS The Early Show; 517 word equivalents; Campaigns/Elections/Politics
January 30, 2012; CBS The Early Show; 350 word equivalents; Campaigns/Elections/Politics
January 30, 2012; CBS The Early Show; 275 word equivalents; Campaigns/Elections/Politics
February 1, 2012; CBS The Early Show; 495 word equivalents; Campaigns/Elections/Politics
February 1, 2012; CBS The Early Show; 155 word equivalents; Campaigns/Elections/Politics
February 1, 2012; CBS The Early Show; 435 word equivalents; Campaigns/Elections/Politics
February 1, 2012; CBS The Early Show; 190 word equivalents; Campaigns/Elections/Politics
February 1, 2012; CBS The Early Show; 430 word equivalents; Campaigns/Elections/Politics
February 3, 2012; CBS The Early Show; 282 word equivalents; Campaigns/Elections/Politics
February 3, 2012; CBS The Early Show; 87 word equivalents; Campaigns/Elections/Politics
February 6, 2012; CBS The Early Show; 65 word equivalents; Campaigns/Elections/Politics
February 8, 2012; CBS The Early Show; 272 word equivalents; Campaigns/Elections/Politics
February 8, 2012; CBS The Early Show; 130 word equivalents; Campaigns/Elections/Politics
February 10, 2012; CBS The Early Show; 367 word equivalents; Campaigns/Elections/Politics
February 10, 2012; CBS The Early Show; 432 word equivalents; Campaigns/Elections/Politics
February 14, 2012; CBS The Early Show; 767 word equivalents; Campaigns/Elections/Politics
February 16, 2012; CBS The Early Show; 297 word equivalents; Campaigns/Elections/Politics
February 16, 2012; CBS The Early Show; 362 word equivalents; Campaigns/Elections/Politics
February 21, 2012; CBS The Early Show; 372 word equivalents; Campaigns/Elections/Politics
February 23, 2012; CBS The Early Show; 465 word equivalents; Campaigns/Elections/Politics
February 23, 2012; CBS The Early Show; 262 word equivalents; Campaigns/Elections/Politics
February 28, 2012; CBS The Early Show; 370 word equivalents; Campaigns/Elections/Politics
March 7, 2012; CBS The Early Show; 415 word equivalents; Campaigns/Elections/Politics
March 7, 2012; CBS The Early Show; 612 word equivalents; Campaigns/Elections/Politics
March 7, 2012; CBS The Early Show; 445 word equivalents; Campaigns/Elections/Politics
March 9, 2012; CBS The Early Show; 372 word equivalents; Campaigns/Elections/Politics
March 12, 2012; CBS The Early Show; 520 word equivalents; Campaigns/Elections/Politics
March 12, 2012; CBS The Early Show; 245 word equivalents; Campaigns/Elections/Politics
March 19, 2012; CBS The Early Show; 397 word equivalents; Campaigns/Elections/Politics
March 21, 2012; CBS The Early Show; 635 word equivalents; Campaigns/Elections/Politics
April 3, 2012; CBS The Early Show; 567 word equivalents; Campaigns/Elections/Politics
April 5, 2012; CBS The Early Show; 542 word equivalents; Campaigns/Elections/Politics
April 25, 2012; CBS The Early Show; 345 word equivalents; Campaigns/Elections/Politics
April 25, 2012; CBS The Early Show; 547 word equivalents; Campaigns/Elections/Politics
April 30, 2012; CBS The Early Show; 385 word equivalents; Campaigns/Elections/Politics
May 10, 2012; CBS The Early Show; 485 word equivalents; Campaigns/Elections/Politics
May 15, 2012; CBS The Early Show; 400 word equivalents; Campaigns/Elections/Politics
May 17, 2012; CBS The Early Show; 332 word equivalents; Campaigns/Elections/Politics
May 22, 2012; CBS The Early Show; 412 word equivalents; Campaigns/Elections/Politics
May 24, 2012; CBS The Early Show; 364 word equivalents; Campaigns/Elections/Politics
May 24, 2012; CBS The Early Show; 247 word equivalents; Campaigns/Elections/Politics
May 24, 2012; CBS The Early Show; 117 word equivalents; Campaigns/Elections/Politics
May 24, 2012; CBS The Early Show; 87 word equivalents; Campaigns/Elections/Politics
May 28, 2012; CBS The Early Show; 387 word equivalents; Campaigns/Elections/Politics
May 28, 2012; CBS The Early Show; 537 word equivalents; Campaigns/Elections/Politics
January 2, 2012; CBS Evening News; 295 word equivalents; Campaigns/Elections/Politics
January 4, 2012; CBS Evening News; 512 word equivalents; Campaigns/Elections/Politics
January 4, 2012; CBS Evening News; 385 word equivalents; Campaigns/Elections/Politics
January 4, 2012; CBS Evening News; 277 word equivalents; Campaigns/Elections/Politics
January 10, 2012; CBS Evening News; 360 word equivalents; Campaigns/Elections/Politics
January 10, 2012; CBS Evening News; 175 word equivalents; Campaigns/Elections/Politics
January 11, 2012; CBS Evening News; 262 word equivalents; Campaigns/Elections/Politics
January 13, 2012; CBS Evening News; 507 word equivalents; Campaigns/Elections/Politics
January 16, 2012; CBS Evening News; 345 word equivalents; Campaigns/Elections/Politics
January 17, 2012; CBS Evening News; 297 word equivalents; Campaigns/Elections/Politics
January 17, 2012; CBS Evening News; 232 word equivalents; Campaigns/Elections/Politics
January 19, 2012; CBS Evening News; 60 word equivalents; Campaigns/Elections/Politics
January 19, 2012; CBS Evening News; 262 word equivalents; Campaigns/Elections/Politics
January 20, 2012; CBS Evening News; 335 word equivalents; Campaigns/Elections/Politics
January 23, 2012; CBS Evening News; 437 word equivalents; Campaigns/Elections/Politics
January 23, 2012; CBS Evening News; 310 word equivalents; Campaigns/Elections/Politics
January 25, 2012; CBS Evening News; 260 word equivalents; Economy/Economics
January 25, 2012; CBS Evening News; 82 word equivalents; Government Agencies/Legislatures
January 26, 2012; CBS Evening News; 297 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CBS Evening News; 240 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CBS Evening News; 62 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CBS Evening News; 212 word equivalents; Campaigns/Elections/Politics
February 1, 2012; CBS Evening News; 22 word equivalents; Campaigns/Elections/Politics
February 1, 2012; CBS Evening News; 330 word equivalents; Additional Domestic Affairs
February 1, 2012; CBS Evening News; 35 word equivalents; Campaigns/Elections/Politics
February 3, 2012; CBS Evening News; 62 word equivalents; Campaigns/Elections/Politics
February 3, 2012; CBS Evening News; 17 word equivalents; Campaigns/Elections/Politics
February 10, 2012; CBS Evening News; 292 word equivalents; Campaigns/Elections/Politics
February 21, 2012; CBS Evening News; 272 word equivalents; Campaigns/Elections/Politics
February 22, 2012; CBS Evening News; 47 word equivalents; Campaigns/Elections/Politics
February 22, 2012; CBS Evening News; 287 word equivalents; Campaigns/Elections/Politics
February 24, 2012; CBS Evening News; 322 word equivalents; Economy/Economics
February 27, 2012; CBS Evening News; 275 word equivalents; Campaigns/Elections/Politics
February 27, 2012; CBS Evening News; 170 word equivalents; Campaigns/Elections/Politics
February 28, 2012; CBS Evening News; 370 word equivalents; Campaigns/Elections/Politics
February 28, 2012; CBS Evening News; 140 word equivalents; Campaigns/Elections/Politics
March 5, 2012; CBS Evening News; 232 word equivalents; Campaigns/Elections/Politics
March 7, 2012; CBS Evening News; 82 word equivalents; Campaigns/Elections/Politics
March 7, 2012; CBS Evening News; 257 word equivalents; Campaigns/Elections/Politics
March 13, 2012; CBS Evening News; 272 word equivalents; U.S. Foreign Affairs
March 19, 2012; CBS Evening News; 232 word equivalents; Health/Medicine
March 20, 2012; CBS Evening News; 285 word equivalents; Campaigns/Elections/Politics
March 20, 2012; CBS Evening News; 142 word equivalents; Campaigns/Elections/Politics
March 20, 2012; CBS Evening News; 70 word equivalents; Campaigns/Elections/Politics
March 29, 2012; CBS Evening News; 315 word equivalents; Campaigns/Elections/Politics
April 3, 2012; CBS Evening News; 62 word equivalents; Campaigns/Elections/Politics
April 3, 2012; CBS Evening News; 145 word equivalents; Campaigns/Elections/Politics
April 3, 2012; CBS Evening News; 215 word equivalents; Campaigns/Elections/Politics
April 4, 2012; CBS Evening News; 317 word equivalents; Campaigns/Elections/Politics
April 10, 2012; CBS Evening News; 47 word equivalents; Campaigns/Elections/Politics
April 12, 2012; CBS Evening News; 67 word equivalents; Economy/Economics
April 13, 2012; CBS Evening News; 105 word equivalents; Campaigns/Elections/Politics
April 18, 2012; CBS Evening News; 392 word equivalents; Campaigns/Elections/Politics
April 24, 2012; CBS Evening News; 140 word equivalents; Campaigns/Elections/Politics
May 9, 2012; CBS Evening News; 65 word equivalents; Campaigns/Elections/Politics
May 10, 2012; CBS Evening News; 400 word equivalents; Campaigns/Elections/Politics
May 21, 2012; CBS Evening News; 137 word equivalents; Campaigns/Elections/Politics
May 21, 2012; CBS Evening News; 172 word equivalents; Campaigns/Elections/Politics
May 30, 2012; CBS Evening News; 120 word equivalents; Campaigns/Elections/Politics
May 30, 2012; CBS Evening News; 242 word equivalents; Campaigns/Elections/Politics
May 31, 2012; CBS Evening News; 439 word equivalents; Campaigns/Elections/Politics
January 4, 2012; PBS NewsHour, 1st half hour; 742 word equivalents; Campaigns/Elections/Politics
January 4, 2012; PBS NewsHour, 1st half hour; 207 word equivalents; Campaigns/Elections/Politics
January 4, 2012; PBS NewsHour, 1st half hour; 140 word equivalents; Campaigns/Elections/Politics
January 4, 2012; PBS NewsHour, 1st half hour; 892 word equivalents; Campaigns/Elections/Politics
January 12, 2012; PBS NewsHour, 1st half hour; 177 word equivalents; Campaigns/Elections/Politics
January 17, 2012; PBS NewsHour, 1st half hour; 935 word equivalents; Campaigns/Elections/Politics
January 20, 2012; PBS NewsHour, 1st half hour; 692 word equivalents; Campaigns/Elections/Politics
January 20, 2012; PBS NewsHour, 1st half hour; 1365 word equivalents; Campaigns/Elections/Politics
January 30, 2012; PBS NewsHour, 1st half hour; 320 word equivalents; Campaigns/Elections/Politics
January 30, 2012; PBS NewsHour, 1st half hour; 1167 word equivalents; Campaigns/Elections/Politics
January 30, 2012; PBS NewsHour, 1st half hour; 250 word equivalents; Campaigns/Elections/Politics
January 30, 2012; PBS NewsHour, 1st half hour; 255 word equivalents; Campaigns/Elections/Politics
January 30, 2012; PBS NewsHour, 1st half hour; 295 word equivalents; Campaigns/Elections/Politics
January 30, 2012; PBS NewsHour, 1st half hour; 1295 word equivalents; Campaigns/Elections/Politics
February 2, 2012; PBS NewsHour, 1st half hour; 102 word equivalents; Campaigns/Elections/Politics
February 2, 2012; PBS NewsHour, 1st half hour; 382 word equivalents; Campaigns/Elections/Politics
February 7, 2012; PBS NewsHour, 1st half hour; 127 word equivalents; Campaigns/Elections/Politics
February 10, 2012; PBS NewsHour, 1st half hour; 190 word equivalents; Campaigns/Elections/Politics
February 15, 2012; PBS NewsHour, 1st half hour; 322 word equivalents; Campaigns/Elections/Politics
February 15, 2012; PBS NewsHour, 1st half hour; 1242 word equivalents; Campaigns/Elections/Politics
February 23, 2012; PBS NewsHour, 1st half hour; 900 word equivalents; Campaigns/Elections/Politics
February 28, 2012; PBS NewsHour, 1st half hour; 507 word equivalents; Campaigns/Elections/Politics
February 28, 2012; PBS NewsHour, 1st half hour; 740 word equivalents; Campaigns/Elections/Politics
February 28, 2012; PBS NewsHour, 1st half hour; 832 word equivalents; Campaigns/Elections/Politics
March 20, 2012; PBS NewsHour, 1st half hour; 30 word equivalents; Campaigns/Elections/Politics
March 28, 2012; PBS NewsHour, 1st half hour; 20 word equivalents; Campaigns/Elections/Politics
April 2, 2012; PBS NewsHour, 1st half hour; 470 word equivalents; Campaigns/Elections/Politics
April 10, 2012; PBS NewsHour, 1st half hour; 327 word equivalents; Campaigns/Elections/Politics
April 10, 2012; PBS NewsHour, 1st half hour; 1202 word equivalents; Campaigns/Elections/Politics
April 13, 2012; PBS NewsHour, 1st half hour; 67 word equivalents; Campaigns/Elections/Politics
April 18, 2012; PBS NewsHour, 1st half hour; 202 word equivalents; Campaigns/Elections/Politics
April 18, 2012; PBS NewsHour, 1st half hour; 355 word equivalents; Campaigns/Elections/Politics
April 23, 2012; PBS NewsHour, 1st half hour; 1635 word equivalents; Campaigns/Elections/Politics
May 14, 2012; PBS NewsHour, 1st half hour; 437 word equivalents; Business
May 17, 2012; PBS NewsHour, 1st half hour; 60 word equivalents; Campaigns/Elections/Politics
May 22, 2012; PBS NewsHour, 1st half hour; 620 word equivalents; Campaigns/Elections/Politics
May 30, 2012; PBS NewsHour, 1st half hour; 442 word equivalents; Campaigns/Elections/Politics
January 6, 2012; PBS NewsHour, 2nd half hour; 272 word equivalents; Campaigns/Elections/Politics
January 11, 2012; PBS NewsHour, 2nd half hour; 37 word equivalents; Campaigns/Elections/Politics
January 27, 2012; PBS NewsHour, 2nd half hour; 1010 word equivalents; Campaigns/Elections/Politics
February 1, 2012; PBS NewsHour, 2nd half hour; 15 word equivalents; Campaigns/Elections/Politics
February 6, 2012; PBS NewsHour, 2nd half hour; 235 word equivalents; Campaigns/Elections/Politics
February 17, 2012; PBS NewsHour, 2nd half hour; 972 word equivalents; Campaigns/Elections/Politics
February 27, 2012; PBS NewsHour, 2nd half hour; 382 word equivalents; Campaigns/Elections/Politics
February 27, 2012; PBS NewsHour, 2nd half hour; 165 word equivalents; Campaigns/Elections/Politics
March 1, 2012; PBS NewsHour, 2nd half hour; 495 word equivalents; Campaigns/Elections/Politics
March 1, 2012; PBS NewsHour, 2nd half hour; 60 word equivalents; Campaigns/Elections/Politics
March 6, 2012; PBS NewsHour, 2nd half hour; 725 word equivalents; Campaigns/Elections/Politics
March 6, 2012; PBS NewsHour, 2nd half hour; 395 word equivalents; Campaigns/Elections/Politics
March 6, 2012; PBS NewsHour, 2nd half hour; 30 word equivalents; Campaigns/Elections/Politics
April 4, 2012; PBS NewsHour, 2nd half hour; 30 word equivalents; Campaigns/Elections/Politics
April 20, 2012; PBS NewsHour, 2nd half hour; 1547 word equivalents; Campaigns/Elections/Politics
May 11, 2012; PBS NewsHour, 2nd half hour; 235 word equivalents; Campaigns/Elections/Politics
May 11, 2012; PBS NewsHour, 2nd half hour; 17 word equivalents; Campaigns/Elections/Politics
February 7, 2012; CNN unspecified show; 242 word equivalents; Campaigns/Elections/Politics
February 7, 2012; CNN unspecified show; 357 word equivalents; Campaigns/Elections/Politics
February 7, 2012; CNN unspecified show; 380 word equivalents; Campaigns/Elections/Politics
March 6, 2012; CNN unspecified show; 232 word equivalents; Campaigns/Elections/Politics
March 13, 2012; CNN unspecified show; 795 word equivalents; Campaigns/Elections/Politics
March 13, 2012; CNN unspecified show; 535 word equivalents; Campaigns/Elections/Politics
March 13, 2012; CNN unspecified show; 175 word equivalents; Campaigns/Elections/Politics
January 2, 2012; CNN Daytime; 435 word equivalents; Campaigns/Elections/Politics
January 2, 2012; CNN Daytime; 217 word equivalents; Campaigns/Elections/Politics
January 3, 2012; CNN Daytime; 235 word equivalents; Campaigns/Elections/Politics
January 3, 2012; CNN Daytime; 607 word equivalents; Campaigns/Elections/Politics
January 6, 2012; CNN Daytime; 622 word equivalents; Campaigns/Elections/Politics
January 6, 2012; CNN Daytime; 972 word equivalents; Campaigns/Elections/Politics
January 9, 2012; CNN Daytime; 150 word equivalents; Campaigns/Elections/Politics
January 11, 2012; CNN Daytime; 827 word equivalents; Campaigns/Elections/Politics
January 11, 2012; CNN Daytime; 497 word equivalents; Campaigns/Elections/Politics
January 12, 2012; CNN Daytime; 670 word equivalents; Campaigns/Elections/Politics
January 17, 2012; CNN Daytime; 97 word equivalents; Campaigns/Elections/Politics
January 17, 2012; CNN Daytime; 242 word equivalents; Campaigns/Elections/Politics
January 23, 2012; CNN Daytime; 72 word equivalents; Campaigns/Elections/Politics
January 23, 2012; CNN Daytime; 77 word equivalents; Campaigns/Elections/Politics
January 23, 2012; CNN Daytime; 252 word equivalents; Campaigns/Elections/Politics
January 24, 2012; CNN Daytime; 37 word equivalents; Campaigns/Elections/Politics
January 27, 2012; CNN Daytime; 290 word equivalents; Campaigns/Elections/Politics
January 30, 2012; CNN Daytime; 122 word equivalents; Campaigns/Elections/Politics
January 30, 2012; CNN Daytime; 80 word equivalents; Campaigns/Elections/Politics
January 30, 2012; CNN Daytime; 130 word equivalents; Campaigns/Elections/Politics
January 30, 2012; CNN Daytime; 152 word equivalents; Campaigns/Elections/Politics
January 30, 2012; CNN Daytime; 157 word equivalents; Campaigns/Elections/Politics
January 30, 2012; CNN Daytime; 465 word equivalents; Campaigns/Elections/Politics
January 30, 2012; CNN Daytime; 190 word equivalents; Campaigns/Elections/Politics
February 8, 2012; CNN Daytime; 645 word equivalents; Campaigns/Elections/Politics
February 10, 2012; CNN Daytime; 100 word equivalents; Campaigns/Elections/Politics
February 14, 2012; CNN Daytime; 82 word equivalents; Campaigns/Elections/Politics
February 28, 2012; CNN Daytime; 47 word equivalents; Campaigns/Elections/Politics
February 28, 2012; CNN Daytime; 127 word equivalents; Campaigns/Elections/Politics
February 28, 2012; CNN Daytime; 502 word equivalents; Campaigns/Elections/Politics
February 28, 2012; CNN Daytime; 427 word equivalents; Campaigns/Elections/Politics
March 5, 2012; CNN Daytime; 30 word equivalents; Campaigns/Elections/Politics
March 6, 2012; CNN Daytime; 410 word equivalents; Campaigns/Elections/Politics
March 6, 2012; CNN Daytime; 140 word equivalents; Campaigns/Elections/Politics
March 12, 2012; CNN Daytime; 77 word equivalents; Campaigns/Elections/Politics
March 12, 2012; CNN Daytime; 67 word equivalents; Campaigns/Elections/Politics
March 12, 2012; CNN Daytime; 510 word equivalents; Campaigns/Elections/Politics
March 14, 2012; CNN Daytime; 70 word equivalents; Campaigns/Elections/Politics
March 14, 2012; CNN Daytime; 605 word equivalents; Campaigns/Elections/Politics
March 21, 2012; CNN Daytime; 92 word equivalents; Campaigns/Elections/Politics
April 4, 2012; CNN Daytime; 105 word equivalents; Campaigns/Elections/Politics
April 10, 2012; CNN Daytime; 327 word equivalents; Campaigns/Elections/Politics
April 10, 2012; CNN Daytime; 235 word equivalents; Campaigns/Elections/Politics
April 11, 2012; CNN Daytime; 25 word equivalents; Campaigns/Elections/Politics
April 13, 2012; CNN Daytime; 60 word equivalents; Campaigns/Elections/Politics
April 13, 2012; CNN Daytime; 557 word equivalents; Campaigns/Elections/Politics
April 13, 2012; CNN Daytime; 97 word equivalents; Campaigns/Elections/Politics
April 17, 2012; CNN Daytime; 62 word equivalents; Campaigns/Elections/Politics
April 23, 2012; CNN Daytime; 77 word equivalents; Campaigns/Elections/Politics
April 23, 2012; CNN Daytime; 17 word equivalents; Campaigns/Elections/Politics
April 25, 2012; CNN Daytime; 37 word equivalents; Campaigns/Elections/Politics
May 1, 2012; CNN Daytime; 1107 word equivalents; Campaigns/Elections/Politics
May 1, 2012; CNN Daytime; 175 word equivalents; Campaigns/Elections/Politics
May 7, 2012; CNN Daytime; 65 word equivalents; Campaigns/Elections/Politics
May 11, 2012; CNN Daytime; 740 word equivalents; Campaigns/Elections/Politics
May 23, 2012; CNN Daytime; 745 word equivalents; Campaigns/Elections/Politics
May 29, 2012; CNN Daytime; 60 word equivalents; Campaigns/Elections/Politics
January 3, 2012; CNN Situation Room; 627 word equivalents; Campaigns/Elections/Politics
January 13, 2012; CNN Situation Room; 627 word equivalents; Campaigns/Elections/Politics
January 25, 2012; CNN Situation Room; 610 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Situation Room; 380 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Situation Room; 145 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Situation Room; 165 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Situation Room; 300 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Situation Room; 147 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Situation Room; 395 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Situation Room; 437 word equivalents; Campaigns/Elections/Politics
February 6, 2012; CNN Situation Room; 105 word equivalents; Campaigns/Elections/Politics
February 6, 2012; CNN Situation Room; 515 word equivalents; Campaigns/Elections/Politics
March 5, 2012; CNN Situation Room; 295 word equivalents; Campaigns/Elections/Politics
March 5, 2012; CNN Situation Room; 580 word equivalents; Campaigns/Elections/Politics
March 27, 2012; CNN Situation Room; 654 word equivalents; Campaigns/Elections/Politics
April 2, 2012; CNN Situation Room; 172 word equivalents; Campaigns/Elections/Politics
April 12, 2012; CNN Situation Room; 575 word equivalents; Campaigns/Elections/Politics
May 16, 2012; CNN Situation Room; 240 word equivalents; Campaigns/Elections/Politics
May 22, 2012; CNN Situation Room; 515 word equivalents; Campaigns/Elections/Politics
May 28, 2012; CNN Situation Room; 792 word equivalents; Campaigns/Elections/Politics
January 3, 2012; CNN Anderson Cooper 360; 632 word equivalents; Campaigns/Elections/Politics
January 3, 2012; CNN Anderson Cooper 360; 150 word equivalents; Campaigns/Elections/Politics
January 3, 2012; CNN Anderson Cooper 360; 187 word equivalents; Campaigns/Elections/Politics
January 3, 2012; CNN Anderson Cooper 360; 432 word equivalents; Campaigns/Elections/Politics
January 11, 2012; CNN Anderson Cooper 360; 560 word equivalents; Campaigns/Elections/Politics
January 11, 2012; CNN Anderson Cooper 360; 385 word equivalents; Campaigns/Elections/Politics
January 11, 2012; CNN Anderson Cooper 360; 620 word equivalents; Campaigns/Elections/Politics
January 13, 2012; CNN Anderson Cooper 360; 142 word equivalents; Campaigns/Elections/Politics
January 13, 2012; CNN Anderson Cooper 360; 802 word equivalents; Campaigns/Elections/Politics
January 19, 2012; CNN Anderson Cooper 360; 437 word equivalents; Campaigns/Elections/Politics
January 19, 2012; CNN Anderson Cooper 360; 105 word equivalents; Campaigns/Elections/Politics
January 19, 2012; CNN Anderson Cooper 360; 215 word equivalents; Campaigns/Elections/Politics
January 23, 2012; CNN Anderson Cooper 360; 387 word equivalents; Campaigns/Elections/Politics
January 23, 2012; CNN Anderson Cooper 360; 907 word equivalents; Campaigns/Elections/Politics
January 25, 2012; CNN Anderson Cooper 360; 362 word equivalents; Campaigns/Elections/Politics
January 25, 2012; CNN Anderson Cooper 360; 587 word equivalents; Campaigns/Elections/Politics
January 27, 2012; CNN Anderson Cooper 360; 195 word equivalents; Campaigns/Elections/Politics
January 27, 2012; CNN Anderson Cooper 360; 335 word equivalents; Campaigns/Elections/Politics
January 27, 2012; CNN Anderson Cooper 360; 272 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Anderson Cooper 360; 315 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Anderson Cooper 360; 602 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Anderson Cooper 360; 1140 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Anderson Cooper 360; 295 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Anderson Cooper 360; 515 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Anderson Cooper 360; 657 word equivalents; Campaigns/Elections/Politics
January 31, 2012; CNN Anderson Cooper 360; 272 word equivalents; Campaigns/Elections/Politics
February 2, 2012; CNN Anderson Cooper 360; 1020 word equivalents; Campaigns/Elections/Politics
February 6, 2012; CNN Anderson Cooper 360; 970 word equivalents; Campaigns/Elections/Politics
February 10, 2012; CNN Anderson Cooper 360; 497 word equivalents; Campaigns/Elections/Politics
February 10, 2012; CNN Anderson Cooper 360; 807 word equivalents; Campaigns/Elections/Politics
February 16, 2012; CNN Anderson Cooper 360; 347 word equivalents; Campaigns/Elections/Politics
February 16, 2012; CNN Anderson Cooper 360; 672 word equivalents; Campaigns/Elections/Politics
February 24, 2012; CNN Anderson Cooper 360; 497 word equivalents; Campaigns/Elections/Politics
February 28, 2012; CNN Anderson Cooper 360; 439 word equivalents; Campaigns/Elections/Politics
February 28, 2012; CNN Anderson Cooper 360; 247 word equivalents; Campaigns/Elections/Politics
February 28, 2012; CNN Anderson Cooper 360; 102 word equivalents; Campaigns/Elections/Politics
February 28, 2012; CNN Anderson Cooper 360; 315 word equivalents; Campaigns/Elections/Politics
February 28, 2012; CNN Anderson Cooper 360; 410 word equivalents; Campaigns/Elections/Politics
March 5, 2012; CNN Anderson Cooper 360; 327 word equivalents; Health/Medicine
March 5, 2012; CNN Anderson Cooper 360; 360 word equivalents; Campaigns/Elections/Politics
March 5, 2012; CNN Anderson Cooper 360; 710 word equivalents; Campaigns/Elections/Politics
March 7, 2012; CNN Anderson Cooper 360; 197 word equivalents; Campaigns/Elections/Politics
March 7, 2012; CNN Anderson Cooper 360; 292 word equivalents; Campaigns/Elections/Politics
March 7, 2012; CNN Anderson Cooper 360; 1075 word equivalents; Campaigns/Elections/Politics
March 9, 2012; CNN Anderson Cooper 360; 320 word equivalents; Campaigns/Elections/Politics
March 9, 2012; CNN Anderson Cooper 360; 155 word equivalents; Campaigns/Elections/Politics
April 2, 2012; CNN Anderson Cooper 360; 240 word equivalents; Campaigns/Elections/Politics
April 2, 2012; CNN Anderson Cooper 360; 507 word equivalents; Campaigns/Elections/Politics
April 2, 2012; CNN Anderson Cooper 360; 617 word equivalents; Campaigns/Elections/Politics
April 4, 2012; CNN Anderson Cooper 360; 405 word equivalents; Campaigns/Elections/Politics
April 4, 2012; CNN Anderson Cooper 360; 305 word equivalents; Campaigns/Elections/Politics
April 10, 2012; CNN Anderson Cooper 360; 520 word equivalents; Campaigns/Elections/Politics
April 24, 2012; CNN Anderson Cooper 360; 445 word equivalents; Campaigns/Elections/Politics
April 24, 2012; CNN Anderson Cooper 360; 842 word equivalents; Campaigns/Elections/Politics
April 26, 2012; CNN Anderson Cooper 360; 1057 word equivalents; Campaigns/Elections/Politics
April 30, 2012; CNN Anderson Cooper 360; 620 word equivalents; Government Agencies/Legislatures
April 30, 2012; CNN Anderson Cooper 360; 1082 word equivalents; Government Agencies/Legislatures
May 4, 2012; CNN Anderson Cooper 360; 345 word equivalents; Campaigns/Elections/Politics
May 10, 2012; CNN Anderson Cooper 360; 692 word equivalents; Campaigns/Elections/Politics
May 10, 2012; CNN Anderson Cooper 360; 760 word equivalents; Campaigns/Elections/Politics
May 18, 2012; CNN Anderson Cooper 360; 372 word equivalents; Campaigns/Elections/Politics
May 18, 2012; CNN Anderson Cooper 360; 960 word equivalents; Campaigns/Elections/Politics
May 22, 2012; CNN Anderson Cooper 360; 360 word equivalents; Campaigns/Elections/Politics
May 22, 2012; CNN Anderson Cooper 360; 1067 word equivalents; Campaigns/Elections/Politics
January 5, 2012; CNN John King, USA; 255 word equivalents; Campaigns/Elections/Politics
January 5, 2012; CNN John King, USA; 219 word equivalents; Campaigns/Elections/Politics
January 11, 2012; CNN John King, USA; 462 word equivalents; Campaigns/Elections/Politics
January 11, 2012; CNN John King, USA; 395 word equivalents; Economy/Economics
January 17, 2012; CNN John King, USA; 240 word equivalents; Campaigns/Elections/Politics
January 17, 2012; CNN John King, USA; 340 word equivalents; Campaigns/Elections/Politics
January 17, 2012; CNN John King, USA; 705 word equivalents; Campaigns/Elections/Politics
January 23, 2012; CNN John King, USA; 272 word equivalents; Campaigns/Elections/Politics
January 23, 2012; CNN John King, USA; 292 word equivalents; Campaigns/Elections/Politics
January 23, 2012; CNN John King, USA; 392 word equivalents; Campaigns/Elections/Politics
January 27, 2012; CNN John King, USA; 265 word equivalents; Campaigns/Elections/Politics
February 2, 2012; CNN John King, USA; 467 word equivalents; Campaigns/Elections/Politics
